ID_USER, PRODUCTION, CONSUME, CONSUME_OTHERS, VOLUME_USER, DENSITY_USER, ROL_USER, ID_FILE, SIZE_FILE, TOPIC_ID, VOLUME_TOPIC, DENSITY_TOPIC, ROL_TOPIC
106, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
107, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
108, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
109, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
110, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
110, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 190, 4, 8, 513588, 46640.91661004722, Gamma
111, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
112, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
113, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
114, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
115, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
116, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
117, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
118, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
119, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
120, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
121, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
122, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
123, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
124, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
125, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
126, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
127, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
128, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
129, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
130, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
131, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
132, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
133, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
134, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
135, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
136, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
137, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
138, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
139, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
140, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
141, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
142, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
143, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
144, 0.008411136344520145, 0.0, 0.10513920430650181, 4300, 1878.4499959945679, Gamma, 329, 1, 17, 48148607, 474209.68342377245, Beta
144, 0.008411136344520145, 0.0, 0.10513920430650181, 4300, 1878.4499959945679, Gamma, 175, 8, 7, 20247384, 314153.81664669514, Beta
